 ,name,atbats,single,double,triple,homerun,walks,rbi,run,strikeout,id
1,Beep,4,2,,,,1,1,2,,18
2,Spangler,4,3,,,,,,1,,17
3,Taylor,4,3,,,,,1,3,,28
4,Grace,3,1,,1,1,,5,3,,5
5,Ryan,3,2,,,,1,2,2,,26
6,Clint,3,2,,,,,,1,,34
7,Sean,3,,1,,,1,1,1,,7
8,Frank,3,,,,,,,,,11
9,Cody,3,1,1,,,,2,1,,3
10,Shack,3,1,,,,,,,,12
