 ,name,atbats,single,double,triple,homerun,walks,rbi,run,strikeout,id
1,Beep,2,,,,,1,,1,,18
2,Josh,2,,1,,,,1,,,1
3,Grace,2,,,,1,,2,1,,5
4,Sweet,2,,,,,1,,1,,8
5,Sean,2,,,,,1,,,,7
6,Cody,2,2,,,,,,1,,3
7,Robert,2,,,,,,1,,,30
8,Shack,2,,,,,,,,,12
9,Andres,2,,,,,,,1,,31
10,Frank,2,,,,,,,,,11
11,Connor,2,,,,,,,,,14
